number,date,description,location,price,status,notes,parts
115,12/15/2024,5b Sewer Pipe Leak & Ceiling Repair,7157,$350.00,Paid,,
116,1/21/2025,Apt 203 Water Heater Replacement,25 Orchard,"$1,400.00",Paid,,
117,1/31/2025,Apt 5B Kitchen Faucet Replacement,7157,$250.00,Paid,,
118,2/4/2025,3A Water Heater Replacement,7157,"$1,300.00",Paid,,
119,2/5/2025,Apt 4A Change Out Kitchen Stove,7157,$300.00,Paid,,
120,2/23/2025,Apt 6A Fix A/C United Heating System,7157,$100.00,Paid,,
121,3/29/2025,"Apt 2A&5A Heating Sys Change Out Comustion Fan, Motor Upgrade, LED Bulbs on Wall Soffit",7157,$500.00,Paid,,
122,4/2/2025,Apt 2B Toilet Seat Replacement,7157,$60.00,Paid,,
123,4/4/2025,Apt 2A Shower Body Fixed-,7157,$0.00,Paid,,
124,4/28/2025,Apt 4A Gas Turn On,7157,$300.00,Invoiced,,
125,5/4/2025,2A Showet Body Fix,7157,$50.00,Invoiced,,
126,5/15/2025,Install Gas Detector Throughout Building,7157,$150.00,Invoiced,,
127,5/23/2025,New Lights (2) For Driveway,7157,$350.00,Invoiced,,
128,5/27/2025,"Apt 1A and 1B Backyard remove pavers, new waterproofing, fence reinforcements",7157,"$6,000.00",Invoiced,"$18,000 total, $12,000 was deposited",
129,6/5/2025,Apt 6A A/C Leaking Water,7157,$50.00,Invoiced,,
130,6/25/2025,Apt 2A and 4A A/C Foul Play,7157,$0.00,Invoiced,,
131,6/25/2025,Apt 2A Window Operator Replaced,7157,$100.00,Invoiced,,
132,7/3/2025,Apt 6A A/C Blower Change Out,7157,$50.00,Invoiced,,
133,7/14/2025,Apt 5B Water Heater Replacement,7157,"$1,200.00",Invoiced,,
134,8/3/2025,Apt 5B Stove Replaced,7157,$100.00,Invoiced,,
135,8/18/2025,Laundry Room Ceiling,7157,$250.00,Invoiced,,
136,8/22/2025,Apt 2A replace kitchen waste line,7157,$150.00,Invoiced,,
137,9/17/2025,"Apt 2B Fix Cabinet Hinger & Replace kitchen faucets, add sink stopper",7157,$250.00,Invoiced,,
138,10/15/2025,Repair leaking in elevator mechanic room,7157,$150.00,Invoiced,,
139,11/22/2025,Apt 5A & 5B Renovation upgrade a/c units,7157,"$6,100.00",Invoiced,,
140,12/23/2025,Repair main entrance light & replace garage wall light bulbs,7157,$50.00,Invoiced,,2 pack sink stopper- $30.72- Apt 2A- September
