number,date,description,location,price,status,notes,parts
1,2/5/2021,Fix Stair wall materials and labor,149-16,$110,Paid,,
2,2/16/2021,75 Gal water heater materials and labor,149-16,"$1,253.25",Paid,,
3,2/17/2021,Door louver change materials and labor,149-16,$254.50,Paid,,
4,3/8/2021,Kitchen exhaust ducts materials and labor,149-16,$172.50,Paid,,
5,3/8/2021,Relocate TV and shield window matierals and labor,149-16,$80.59,Paid,,
6,3/8/2021,Replace 3 smoke detectors,149-16,$141.38,Paid,,
7,1/18/2021,Apt 5A kitchen sink repair materials and labor,71-57,$316.07,Paid,,
8,2/22/2021,Apt 6A ceiling water leak,71-57,$204.99,Paid,,
9,3/5/2021,Apt 4B Kitchen Sink Repair,71-57,$80,Paid,,
10,3/10/2021,Apt 2A Kitchen Cabinet Door Hinge Repair,71-57,$80,Paid,,
11,03/02/2021,Repair Leak in store front matierials and labor,25 Orchard,$171.00,Paid,,
12,05/04/2021,"Tub Spout Diverter $15
Shower Body $125
Kitchen Faucet $88
Labor $250",25 Orchard,$508.00,Paid,,
13,05/15/2021,"Washer and Dryer (1 Set) $0
Washer Agitator Assembly $60
Labor $250",71-57,$310.00,Paid,,
14,05/27/2021,"Flashing Cement 1 Gallon $18
Labor $120",,$138.00,Paid,,
15,05/28/2021,Replace Kitchen Cabinet Labor,71-57,$250.00,Paid,,
16,07/26/2021,Apt 6A- A/C Compressor replacement,71-57,$550.00,Paid,,
17,07/31/2021,"Apt 1A- Dryer Cleaning & Timer Fix $80
Apt 3B- Dryer Swap Out $120",71-57,$200.00,Paid,,
18,08/10/21,Apt 1A,71-57,$50.00,Paid,,
19,12/04/2021,"Apt 6A- Condensation Leak $0
Apt 4A- Kitchen Sink Faucet Replacement $110
Labor $150",71-57,$260.00,Paid,,
20,12/23/2021,Apt 5B- Dryer Lint Trap Replacement,71-57,$20.00,Paid,,
21,9/3/2021,Repair 10 Water heaters Labor and Materials,71-57,$350,Paid,,
22,9/6/2021,"Clean out elevator pits, replace light marterials and labor",71-57,$325,Paid,,
23,9/14/2021,Apt 2B- Replace window operator materials,71-57,$71,Paid,,
24,9/14/2021,Garage light sensor materials,71-57,$45,Paid,,
25,9/14/2021,"Apt 2B Ceiling paint, main entrance ceiling & labor",71-57,$280,Paid,,
26,9/15/2021,Apt 3B-Ktichen Cabinets & Hinges Materials & Labor,71-57,$345,Paid,,
27,9/16/2021,Replace Garage door hinges,71-57,$8,Paid,,
28,9/16/2021,Elevator Push Button,71-57,$0,Paid,,
29,9/16/2021,Apt 1A- Sink Faucet Materials,71-57,$51,Paid,,
30,9/16/2021,Apt 3B Outdoor GFCI outlet in balcony,71-57,$20,Paid,,
31,9/16/2021,Pump,71-57,$135,Paid,,
32,9/16/2021,Hose,71-57,$25,Paid,,
33,9/16/2021,Total Labor,71-57,$250,Paid,,
34,9/4/2021,Roof Repair materials & labor,25 Orchard,$463,Paid,,
35,9/29/2021,"Roof boiler room & roof repair, materials and labor",25 Orchard,$300,Paid,,
36,10/4/2021,Apt 3B Washer leaking water materials & labor,25 Orchard,$80,Paid,,
